timestamp,threads,n_prompt,n_gen,avg_latency_ms_token,throughput_tokens_s,peak_rss_mb,energy_kwh,co2_kg
2026-05-26T05:22:08,2,512,128,101.626,9.84,1936.6,0.000846,0.000117
2026-05-26T05:25:07,2,512,512,100.73,9.928,1974.6,0.003033,0.000421
2026-05-26T05:27:44,2,1,512,101.008,9.9,2067.5,0.004941,0.000686
