timestamp,threads,n_prompt,n_gen,avg_latency_ms_token,throughput_tokens_s,peak_rss_mb,energy_kwh,co2_kg
2026-06-12T23:04:38,1,512,128,151.927,6.582,1293.2,,
2026-06-12T23:11:32,1,512,512,153.544,6.513,1293.3,,
2026-06-12T23:15:30,1,1,512,153.619,6.51,1274.1,,
2026-06-12T23:17:32,2,512,128,82.571,12.111,1293.3,,
2026-06-12T23:21:11,2,512,512,83.687,11.949,1293.4,,
2026-06-12T23:23:21,2,1,512,83.638,11.956,1274.2,,
2026-06-12T23:24:29,4,512,128,53.399,18.727,1293.3,,
2026-06-12T23:26:38,4,512,512,54.351,18.399,1293.3,,
2026-06-12T23:28:03,4,1,512,54.454,18.364,1274.2,,
2026-06-12T23:28:56,6,512,128,49.834,20.066,1293.3,,
2026-06-12T23:30:46,6,512,512,50.47,19.814,1293.4,,
2026-06-12T23:32:08,6,1,512,52.583,19.018,1274.3,,
