timestamp,threads,n_prompt,n_gen,avg_latency_ms_token,throughput_tokens_s,peak_rss_mb,energy_kwh,co2_kg
2026-05-16T03:26:01,2,512,128,56.051,17.841,1239.2,,
2026-05-16T03:27:59,2,512,512,57.815,17.297,1239.1,,
2026-05-16T03:29:29,2,1,512,57.472,17.4,1230.4,,
2026-05-16T03:30:04,4,512,128,46.76,21.386,1240.2,,
2026-05-16T03:31:32,4,512,512,47.54,21.035,1239.5,,
2026-05-16T03:32:47,4,1,512,47.803,20.919,1230.5,,
2026-05-16T03:33:18,6,512,128,45.88,21.796,1239.1,,
2026-05-16T03:34:50,6,512,512,51.557,19.396,1239.3,,
2026-05-16T03:36:10,6,1,512,50.858,19.663,1230.4,,
