timestamp,threads,n_prompt,n_gen,avg_latency_ms_token,throughput_tokens_s,peak_rss_mb,energy_kwh,co2_kg
2026-06-12T22:32:45,1,512,128,172.253,5.805,2671.2,,
2026-06-12T22:38:55,1,512,512,174.493,5.731,2671.3,,
2026-06-12T22:43:28,1,1,512,175.241,5.706,2652.1,,
2026-06-12T22:44:58,2,512,128,96.287,10.386,2671.3,,
2026-06-12T22:48:21,2,512,512,97.778,10.227,2671.5,,
2026-06-12T22:50:53,2,1,512,97.469,10.26,2652.2,,
2026-06-12T22:51:50,4,512,128,70.292,14.226,2671.4,,
2026-06-12T22:54:07,4,512,512,71.28,14.029,2671.4,,
2026-06-12T22:55:59,4,1,512,71.225,14.04,2652.2,,
2026-06-12T22:56:47,6,512,128,67.133,14.896,2671.4,,
2026-06-12T22:58:52,6,512,512,67.974,14.711,2671.4,,
2026-06-12T23:00:41,6,1,512,69.408,14.407,2652.2,,
