timestamp,threads,n_prompt,n_gen,avg_latency_ms_token,throughput_tokens_s,peak_rss_mb,energy_kwh,co2_kg
2026-05-08T20:06:24,4,512,128,47.572,21.021,1246.1,0.000534,4.5e-05
2026-05-08T20:07:59,4,512,512,51.036,19.594,1246.8,0.00199,0.000169
2026-05-08T20:09:20,4,1,512,51.899,19.268,1230.5,0.003269,0.000277
2026-05-09T02:03:44,4,512,128,27.331,36.588,1247.0,0.000288,2.4e-05
2026-05-09T02:04:37,4,512,512,27.859,35.896,1246.4,0.001008,8.5e-05
2026-05-09T02:05:22,4,1,512,27.861,35.892,1230.4,0.001621,0.000137
2026-05-09T02:07:30,4,512,128,27.103,36.896,1245.8,0.000286,2.4e-05
2026-05-09T02:08:24,4,512,512,27.911,35.828,1246.2,0.001008,8.5e-05
2026-05-09T02:09:09,4,1,512,27.871,35.88,1230.3,0.001621,0.000137
