timestamp,threads,n_prompt,n_gen,avg_latency_ms_token,throughput_tokens_s,peak_rss_mb,energy_kwh,co2_kg
2026-06-12T21:30:19,1,512,128,90.401,11.062,744.4,,
2026-06-12T21:34:36,1,512,512,90.935,10.997,744.4,,
2026-06-12T21:36:58,1,1,512,91.981,10.872,727.0,,
2026-06-12T21:38:19,2,512,128,48.412,20.656,744.3,,
2026-06-12T21:40:34,2,512,512,49.074,20.377,744.5,,
2026-06-12T21:41:50,2,1,512,49.098,20.367,727.1,,
2026-06-12T21:42:34,4,512,128,29.761,33.602,744.4,,
2026-06-12T21:43:51,4,512,512,30.194,33.119,744.6,,
2026-06-12T21:44:38,4,1,512,30.238,33.071,727.2,,
2026-06-12T21:45:12,6,512,128,27.367,36.541,744.5,,
2026-06-12T21:46:23,6,512,512,32.12,31.133,744.5,,
2026-06-12T21:47:07,6,1,512,27.776,36.002,727.1,,
