timestamp,threads,n_prompt,n_gen,avg_latency_ms_token,throughput_tokens_s,peak_rss_mb,energy_kwh,co2_kg
2026-05-16T03:39:19,1,512,128,123.237,8.114,1667.0,,
2026-05-16T03:44:25,1,512,512,124.043,8.062,1666.8,,
2026-05-16T03:47:37,1,1,512,123.815,8.077,1648.7,,
2026-05-16T03:49:04,2,512,128,72.263,13.838,1667.0,,
2026-05-16T03:51:54,2,512,512,73.059,13.688,1666.8,,
2026-05-16T03:53:48,2,1,512,72.974,13.703,1648.7,,
2026-05-16T03:54:43,4,512,128,60.909,16.418,1667.1,,
2026-05-16T03:56:49,4,512,512,61.387,16.29,1667.1,,
2026-05-16T03:58:24,4,1,512,61.335,16.304,1648.9,,
2026-05-16T03:59:09,6,512,128,57.21,17.479,1667.1,,
2026-05-16T04:00:59,6,512,512,57.67,17.34,1667.2,,
2026-05-16T04:02:29,6,1,512,57.914,17.267,1648.8,,
