timestamp,threads,n_prompt,n_gen,avg_latency_ms_token,throughput_tokens_s,peak_rss_mb,energy_kwh,co2_kg
2026-06-12T21:00:26,4,512,128,125.883,7.944,2775.0,0.000927,0.000343
2026-06-12T21:04:11,4,512,512,121.865,8.206,2775.0,0.003326,0.001229
2026-06-12T21:08:34,4,1,512,157.553,6.347,2757.9,0.006135,0.002267
